,muon_eta,muon_id,muon_iso,muon_phi,muon_pt,passes_trigger
297,-1.9704691,0.0,0.0,-1.5414983,1.099979,0
298,1.3472114,1.0,51.375492,2.7059839,9.446549,0
299,0.11192621,1.0,0.0,-2.8444376,94.647194,1
300,1.7652692,1.0,0.0,2.9810019,3.951438,0
301,0.34911612,1.0,83.94703,3.101285,7.3766274,0
302,-1.1290979,0.0,39.18681,1.4701773,89.59284,0
303,-2.3507428,0.0,1.2025285,2.4542794,1898.6677,0
304,-2.1719623,1.0,0.0,-2.3151293,3.1385202,0
305,-0.026575632,0.0,470.33588,0.63039654,7.165424,0
306,1.7588004,0.0,0.9809861,2.682702,1.3162142,0
307,-2.200277,0.0,41.129906,-0.28730568,5.5587263,0
308,-1.0384183,0.0,0.0,2.2001755,15.344398,0
309,-1.8413687,0.0,0.0,0.7922617,1.3109148,0
310,2.187104,0.0,48.33702,1.8404243,21.66806,0
311,-0.5347852,0.0,2.1534042,2.1547492,322.10178,0
312,-1.5804794,0.0,105.758514,-1.7155206,1.8424054,0
313,-1.4270192,0.0,0.0,-1.5899173,1.2874358,0
314,1.786979,0.0,0.0,-2.201856,4.4246826,0
315,-2.0729582,0.0,0.8352328,-2.1241436,1.1793995,0
316,0.9974422,0.0,3.2853022,0.07778457,10.902555,0
317,1.9380718,0.0,0.0,1.1392857,1.0184177,0
318,1.677785,0.0,88.56029,1.037198,20.087559,0
319,-1.2846972,0.0,12.127689,0.66534346,56.151157,0
320,-0.27946544,0.0,55.870205,0.41361287,3.813935,0
321,-0.58664477,0.0,6.4990544,-2.3554502,5.176416,0
322,-1.8958923,0.0,0.0,2.8088336,1.0432094,0
323,-1.7209268,0.0,0.0,0.31057727,3.19028,0
324,-1.6756039,0.0,0.0,-3.0442615,5.816582,0
325,-2.3568895,0.0,0.0,-1.3220347,2.3223276,0
326,1.8673444,0.0,0.6333249,-2.7448545,1.3362304,0
327,-1.8245764,0.0,0.19285549,-1.8485292,1.08903,0
328,-1.3585078,1.0,30.671988,-2.170861,16.88197,0
329,-1.849718,0.0,45.043705,-2.3809264,113.05724,0
330,2.2428534,0.0,0.0,2.5106852,0.68771285,0
331,0.4485167,0.0,120.71147,-0.59330845,12.55965,0
332,2.1994224,0.0,2.974385,-3.0660722,0.79961115,0
333,2.0543647,0.0,0.0,-1.2608624,1.1521767,0
334,2.078629,0.0,0.0,2.981543,1.4822824,0
335,-2.2230384,0.0,0.0,2.3448884,4.097359,0
336,0.19880986,0.0,99.1405,-1.7584743,5.038731,0
337,-0.6549683,1.0,2.6133633,2.884533,15.844747,0
338,2.0708106,1.0,0.6483644,-2.9472141,2.573271,0
339,-0.34086767,0.0,285.2111,-1.9837565,9.552569,0
340,-2.050922,0.0,0.0,-1.4827176,1.0957928,0
341,-2.1362147,0.0,0.8731588,1.0309362,1.5380552,0
342,-0.20657608,1.0,40.506218,-0.15049419,50.70048,0
343,1.4720099,0.0,8.841388,1.7364142,3253.5613,0
344,-2.21389,0.0,1.1859837,2.176446,0.77100134,0
345,0.4745865,1.0,1.6328197,1.9070268,4.0430374,0
346,0.8704214,0.0,0.0,-1.9776981,5.96343,0
347,-1.5738745,0.0,1.8451854,-0.446217,1.2834551,0
348,1.551805,0.0,0.0,-2.6247804,1.4602686,0
349,-1.5472167,0.0,0.0,-0.578586,2.2669232,0
350,1.2251343,0.0,0.9299915,1.9904175,4.2378664,0
351,-1.5456647,1.0,143.51878,-1.2733109,8.527693,0
352,1.7985836,0.0,0.55951947,0.4282179,0.8983781,0
353,-1.7929941,0.0,0.6946624,-1.2456471,3.9042366,0
354,-2.1472764,0.0,0.6361454,-0.99923456,2.0681252,0
355,1.2039006,1.0,45.671795,-0.04974432,14.35305,0
356,2.4791498,0.0,1.4273251,-1.5371184,2.1515815,0
357,1.338792,0.0,0.0,1.9984816,1.8583856,0
358,2.2850385,0.0,1.0123943,-1.9153105,0.9367621,0
359,-1.9787484,0.0,1.1981242,1.2140396,3.9927871,0
360,-0.84053344,0.0,0.0,1.3833132,3.7265494,0
361,-2.1194277,0.0,10.736216,1.0784644,0.79485285,0
362,-1.9501743,0.0,0.0,-1.1155224,5.0305967,0
363,0.48085165,0.0,111.33739,2.083117,9.956391,0
364,-1.8496245,0.0,0.0,-2.044863,1.6673267,0
365,2.0178769,0.0,0.34265226,1.7647239,1.3069385,0
366,-1.6365168,0.0,47.10711,1.6739382,2.379412,0
367,-1.6964582,0.0,0.0,-3.0748394,1.273814,0
368,1.9049263,1.0,0.0,-2.4514482,2.5772078,0
369,0.59185976,1.0,1.295125,-2.0512373,22.124546,0
370,-1.8414022,0.0,0.0,2.7348063,1.0344642,0
371,-1.7069597,0.0,5.5640907,-0.019761745,4.76592,0
372,0.08240991,0.0,195.79593,-2.640638,35.69681,0
373,0.41923612,0.0,1.3462106,2.2699368,4.8440704,0
374,2.1569989,0.0,1.6915336,-2.6335485,1.2201881,0
375,-0.7931636,0.0,34.781815,-3.000966,7.7821546,0
376,-2.1649911,0.0,166.83289,-1.6883382,0.920641,0
377,-1.5588627,0.0,2.5372324,2.6026266,1.9758792,0
378,-1.6371615,0.0,140.82039,1.8432503,1.6033534,0
379,-0.9492206,0.0,5.271924,-2.2671227,3.6119707,0
380,-0.29446477,1.0,42.688816,2.0459273,5.765641,0
381,-1.4932011,1.0,62.928017,-0.43220732,3.4712384,0
382,-1.5198016,0.0,100.4202,2.9443696,18.150146,0
383,0.09613622,1.0,28.7039,2.5422082,71.053795,0
384,2.3042073,0.0,0.0,-2.6039176,0.9558639,0
385,2.1306498,0.0,1.7236062,-2.6199782,0.9274489,0
386,1.4414197,0.0,0.0,0.4888209,0.3866858,0
387,-1.5186186,0.0,0.33587354,-2.165808,4.3321977,0
388,-1.9673625,0.0,0.8730913,-1.1932955,0.83883,0
389,-1.7542583,0.0,0.53457755,-2.5841947,1.0959632,0
390,1.6418979,0.0,0.0,0.5922471,1.2361206,0
391,-1.2105167,1.0,24.095993,-0.7784248,23.441994,0
392,-2.1137948,0.0,1.6984043,0.21987756,1.5923105,0
393,-0.3662386,1.0,53.05774,-0.744278,88.74085,0
394,-1.5787035,0.0,0.27928132,2.8135374,2.0314517,0
395,1.0318321,0.0,0.0,-2.9121134,21.766684,0
396,-0.97308403,0.0,71.058685,1.5221597,13.333435,0
397,-1.6793277,1.0,23.087471,-2.1695871,14.432972,0
398,0.114056595,0.0,18.081911,-2.5324092,8.081936,0
399,1.0363051,0.0,0.0,-2.5635185,91.13493,0
400,-0.23152684,0.0,119.93718,1.3939773,34.032825,0
401,0.403176,0.0,128.24037,-1.5472826,11.59386,0
